FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),feat_Co,feat_Si,feat_Ni,feat_Re,feat_Fe,feat_Zr,feat_Ru,feat_Ti,feat_Ta,feat_Al,feat_W,feat_Mo,feat_V,feat_Cu,feat_Nb,feat_Hf,feat_Cr,feat_Mn,Target_Energy,Target_Risk,Target_Price
Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,BCC+Sec.,CAST,other,,,7.2,741.0,,25.0,,,,,,,,,,0.2499375156210947,0.0,0.16670832291927018,0.0,0.16670832291927018,0.0,0.0,0.0,0.0,0.16670832291927018,0.0,0.08322919270182454,0.0,0.0,0.0,0.0,0.16670832291927018,0.0,191.93945027317713,0.37837811014849937,15.542906444536301
Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,FCC+BCC+Sec.,CAST,other,200.0,,7.3,586.0,,25.0,,,,,,,,,,0.3076923076923077,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,186.67288399727283,0.3995093016460504,16.68710097538577
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,796.0,,25.0,,,,,,,,,,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,198.18227285588267,0.3533149809430288,14.183505484080355
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,755.0,,25.0,,,,,,,,,,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,198.18227285588267,0.3533149809430288,14.183505484080355
Al1 Co1 Cr1 Fe0.6 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,754.0,,25.0,,,,,,,,,,0.19607843137254904,0.0,0.19607843137254904,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.19607843137254904,0.0,0.09803921568627452,0.0,0.0,0.0,0.0,0.19607843137254904,0.0,212.14359974826942,0.37969116245617196,15.26851130090803
Al0.667 Co0.667 Cr0.667 Fe1 Mo0.333 Ni0.667,BCC+Sec.,CAST,other,,,7.2,635.0,,25.0,,,,,,,,,,0.16670832291927018,0.0,0.16670832291927018,0.0,0.2499375156210947,0.0,0.0,0.0,0.0,0.16670832291927018,0.0,0.08322919270182454,0.0,0.0,0.0,0.0,0.16670832291927018,0.0,183.43807701913988,0.32535578518270575,13.033544569766855
Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5,BCC+Sec.,CAST,other,,,7.2,639.0,,25.0,,,,,,,,,,0.15384615384615385,0.0,0.15384615384615385,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,170.9392376461342,0.30184657488105765,12.066310471138056
Al1 Co1 Cr1 Fe1 Mo0.5,B2+Sec.,CAST,other,,,6.8,857.0,,25.0,,,,,,,,,,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,205.75322163615678,0.4349711035267349,14.944309856241595
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,CAST,other,,,7.1,730.0,,25.0,,,,,,,,,,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,198.18227285588267,0.3533149809430288,14.183505484080355
Al1 Co1 Cr1 Fe1 Mo0.5 Ni0.5,B2+Sec.,CAST,other,,,7.0,708.0,,25.0,,,,,,,,,,0.2,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,201.55794628693695,0.3897231526911868,14.522726786438929
Al0.667 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni1,FCC+B2+Sec.,CAST,other,,,7.2,586.0,,25.0,,,,,,,,,,0.16670832291927018,0.0,0.2499375156210947,0.0,0.16670832291927018,0.0,0.0,0.0,0.0,0.16670832291927018,0.0,0.08322919270182454,0.0,0.0,0.0,0.0,0.16670832291927018,0.0,195.42927606714068,0.3233527951186278,13.902334481877233
Al0.5 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni1,FCC+B2+Sec.,CAST,other,,,7.3,395.0,,25.0,,,,,,,,,,0.15384615384615385,0.0,0.3076923076923077,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,193.0860263711171,0.29834964703916683,13.671383857089154
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,BCC+BCC,CAST,other,,,6.4,178.0,C,25.0,2260.0,3140.0,24.4,23.0,178.0,,,,,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,246.77178652193575,0.26930482134780637,12.02538055178652
Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,6.3,780.0,,25.0,,,,,,,,,,0.125,0.0,0.125,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,945.5322733744661,0.44342552037426264,63.45322801545866
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,BCC,,,6.2,790.0,,25.0,,,,,,129.0,,,,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,994.4669253226798,0.4151225414874001,70.53025199754148
Al1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,BCC,,,5.9,800.0,,25.0,,,,,,119.0,,,,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1148.4735484843916,0.3760413210677123,77.83189353038756
Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.1,680.0,,25.0,,,,,,,,,,0.125,0.0,0.125,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.125,0.0,869.9411427020708,0.4537179358717435,59.317866566466265
Co1 Cr1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.3,850.0,,25.0,,,,,,,,,,0.125,0.0,0.125,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.125,0.0,828.604587048334,0.5080466721414046,59.74858399812294
Co1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.1,630.0,,25.0,,,,,,,,,,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,905.48269523475,0.42909167544783977,65.28540873434024
Co1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.3,790.0,,25.0,,,,,,,,,,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,856.962259222984,0.4913047121558385,65.34403917727718
Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,6.8,590.0,,25.0,,,,,,,,,,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,1029.944977181354,0.3961291155058133,71.02207242203629
Fe1 Mo1 Ni1 Ti1 V1 Zr1,BCC+Sec.,CAST,other,,,7.1,740.0,,25.0,,,,,,,,,,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,964.2171926495555,0.4701622890242685,70.6252629082193
Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.9,180.0,,25.0,,,,,,216.0,,,,0.19607843137254904,0.0,0.19607843137254904,0.0,0.19607843137254904,0.0,0.0,0.0,0.0,0.019607843137254905,0.0,0.0,0.0,0.0,0.0,0.0,0.19607843137254904,0.19607843137254904,185.51071360447622,0.3735710248747783,10.774665663480492
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.7,171.0,T,25.0,220.0,,56.0,,,212.0,,,,0.1923076923076923,0.0,0.1923076923076923,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.1923076923076923,0.1923076923076923,185.64277666587355,0.37013880530168375,10.687582051533262
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.5,182.0,T,25.0,244.0,,45.0,,,205.0,,,,0.1858736059479554,0.0,0.1858736059479554,0.0,0.1858736059479554,0.0,0.0,0.0,0.0,0.07063197026022305,0.0,0.0,0.0,0.0,0.0,0.0,0.1858736059479554,0.1858736059479554,185.87431172080463,0.3641213834807488,10.534905681150406
Al0.43 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.4,183.0,T,25.0,285.0,,35.0,,,,,,,0.1841620626151013,0.0,0.1841620626151013,0.0,0.1841620626151013,0.0,0.0,0.0,0.0,0.07918968692449356,0.0,0.0,0.0,0.0,0.0,0.0,0.1841620626151013,0.1841620626151013,185.937260232314,0.3624853990426074,10.49339684672745
Al0.49 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.4,220.0,T,25.0,331.0,,29.0,,,,,,,0.18214936247723132,0.0,0.18214936247723132,0.0,0.18214936247723132,0.0,0.0,0.0,0.0,0.08925318761384335,0.0,0.0,0.0,0.0,0.0,0.0,0.18214936247723132,0.18214936247723132,186.01203493492613,0.3605420607982693,10.44408971181138
Al0.56 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.3,278.0,T,25.0,526.0,,16.0,,,,,,,0.17985611510791366,0.0,0.17985611510791366,0.0,0.17985611510791366,0.0,0.0,0.0,0.0,0.10071942446043165,0.0,0.0,0.0,0.0,0.0,0.0,0.17985611510791366,0.17985611510791366,186.09823666841731,0.3583017426215395,10.387247486369272
Al0.62 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.2,405.0,T,25.0,833.0,,5.0,,,,,,,0.17793594306049823,0.0,0.17793594306049823,0.0,0.17793594306049823,0.0,0.0,0.0,0.0,0.11032028469750889,0.0,0.0,0.0,0.0,0.0,0.0,0.17793594306049823,0.17793594306049823,186.1712516777304,0.3564041374816746,10.33910070959413
Al0.68 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.2,486.0,,25.0,,,,,,,,,,0.17605633802816903,0.0,0.17605633802816903,0.0,0.17605633802816903,0.0,0.0,0.0,0.0,0.11971830985915495,0.0,0.0,0.0,0.0,0.0,0.0,0.17605633802816903,0.17605633802816903,186.24347540254877,0.354527097230293,10.29147571318014
Al0.75 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.1,530.0,,25.0,,,,,,,,,,0.17391304347826086,0.0,0.17391304347826086,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.17391304347826086,186.3267533720292,0.35236276547973455,10.23656144494154
Al0.81 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.0,539.0,,25.0,,,,,,,,,,0.1721170395869191,0.0,0.1721170395869191,0.0,0.1721170395869191,0.0,0.0,0.0,0.0,0.13941480206540446,0.0,0.0,0.0,0.0,0.0,0.0,0.1721170395869191,0.1721170395869191,186.3973061711714,0.3505291513291149,10.19003827247168
Al0.88 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.0,533.0,,25.0,,,,,,,,,,0.17006802721088435,0.0,0.17006802721088435,0.0,0.17006802721088435,0.0,0.0,0.0,0.0,0.14965986394557823,0.0,0.0,0.0,0.0,0.0,0.0,0.17006802721088435,0.17006802721088435,186.4786685447343,0.34841460447474604,10.13638716601171
Al0.95 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,6.9,535.0,,25.0,,,,,,,,,,0.1680672268907563,0.0,0.1680672268907563,0.0,0.1680672268907563,0.0,0.0,0.0,0.0,0.15966386554621848,0.0,0.0,0.0,0.0,0.0,0.0,0.1680672268907563,0.1680672268907563,186.5590266999095,0.3463261565004853,10.083398250504036
Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,BCC,CAST,BCC,,,6.6,539.0,,25.0,,,,,,180.0,,,,0.16,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,186.89247433346597,0.3376601034619976,9.863519777158777
Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.0,176.0,T,25.0,208.0,,62.0,,,220.0,,,,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,185.37610912981455,0.3770692938659058,10.863425106990015
Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,300.0,,8.0,144.0,C,25.0,,,,,,220.0,,,,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,185.37610912981455,0.3770692938659058,10.863425106990015
Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,FCC,350.0,,8.0,135.0,C,25.0,230.0,,,75.0,,220.0,,,,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,185.37610912981455,0.3770692938659058,10.863425106990015
Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC,CAST,FCC,120.0,,7.9,151.0,C,25.0,,,,,,215.0,,,,0.19047619047619047,0.0,0.19047619047619047,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.19047619047619047,0.19047619047619047,338.7176079280878,0.38731910212018356,27.117469425350095
Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC+Sec.,ANNEAL,other,130.0,,7.9,144.0,C,25.0,200.0,,,75.0,,,,,,0.19047619047619047,0.0,0.19047619047619047,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.19047619047619047,0.19047619047619047,338.7176079280878,0.38731910212018356,27.117469425350095
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,CAST,FCC,220.0,,7.8,186.0,C,25.0,,,,,,210.0,,,,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,479.29025729885245,0.39671540196815636,42.018028574230875
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,ANNEAL,FCC,250.0,,7.8,275.0,C,25.0,620.0,,,75.0,,210.0,,,,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,479.29025729885245,0.39671540196815636,42.018028574230875
Co1 Cr1 Fe1 Mn1 Ni1 V0.75,FCC+Sec.,ANNEAL,other,500.0,,7.7,380.0,C,25.0,740.0,1325.0,,7.8,,,,,,0.17391304347826086,0.0,0.17391304347826086,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.17391304347826086,0.17391304347826086,608.6252130380878,0.4053605404811601,55.72740352474066
Co1 Cr1 Fe1 Mn1 Ni1 V0.75,FCC+Sec.,CAST,other,500.0,,7.7,342.0,C,25.0,,,,,,,,,,0.17391304347826086,0.0,0.17391304347826086,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.17391304347826086,0.17391304347826086,608.6252130380878,0.4053605404811601,55.72740352474066
Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,ANNEAL,other,12.0,,7.7,636.0,C,25.0,1660.0,1845.0,,0.5,,,,,,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,728.0182320275244,0.4133411299571437,68.382943200338
Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,CAST,other,,,7.7,650.0,C,25.0,,,,,,,,,,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,728.0182320275244,0.4133411299571437,68.382943200338
Al0.2 Cr0.667 Fe1 Mn0.667 Ni0.333,FCC+BCC,CAST,other,,,7.2,297.0,,25.0,,,,,,,,,,0.0,0.0,0.11614928496686433,0.0,0.3487966515521451,0.0,0.0,0.0,0.0,0.06975933031042902,0.0,0.0,0.0,0.0,0.0,0.0,0.2326473665852808,0.2326473665852808,183.3896190690444,0.3007534049235274,4.460835064512957
Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,BCC,CAST,BCC,,,7.0,396.0,,25.0,,,,,,201.0,,,,0.0,0.0,0.111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.22233333333333336,0.22233333333333336,183.76090595645155,0.2940525747457843,4.393750686093204
Al1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,,,6.3,472.0,C,25.0,1406.0,2927.0,,29.0,,,,,,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,240.79737481267117,0.19001198904449385,6.530447005322722
Al1 Cr1 Fe1 Mo1 Ni1,B2+Sec.,CAST,other,,,7.2,905.0,,25.0,,,,,,,,,,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,198.26945001036412,0.34779216472051405,13.083644717750293
Al1 Cr1 Fe1 Mo0.2 Ni1,BCC+B2,CAST,other,,,6.5,549.0,C,25.0,1487.0,3222.0,,29.0,,,,,,0.0,0.0,0.23809523809523808,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,229.22226140103436,0.23295608838740015,8.314075223319232
Al1 Cr1 Fe1 Mo0.5 Ni1,BCC+B2,CAST,other,,,6.8,622.0,C,25.0,1749.0,2644.0,,13.0,,,,,,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,215.3089736422552,0.28457490113257555,10.457996562933515
Al1 Cr1 Fe1 Mo0.8 Ni1,B2+Sec.,CAST,other,,,7.0,854.0,C,25.0,1513.0,1513.0,,0.0,,,,,,0.0,0.0,0.20833333333333334,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,204.35934435934433,0.32519843119843117,12.145242905242906
Al0.3 Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,7.7,180.0,,25.0,,,,,,194.0,,,,0.23255813953488372,0.0,0.0,0.0,0.23255813953488372,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.23255813953488372,0.0,0.0,0.23255813953488372,0.0,185.89597506857817,0.3960318186012566,11.33615265882037
Al0.5 Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,7.4,207.0,,25.0,,,,,,187.0,,,,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,186.19705918543124,0.38748816701529876,11.119565645379598
Al0.8 Co1 Cr1 Cu1 Fe1,FCC+BCC,,other,,,7.0,271.0,,25.0,,,,,,,,,,0.20833333333333334,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.20833333333333334,0.0,186.62449980945124,0.3753589859629065,10.812083174542682
Al1 Co0.769 Cr0.769 Cu0.769 Fe0.769,FCC+BCC,,other,,,6.5,476.0,,25.0,,,,,,,,,,0.18866535819430813,0.0,0.0,0.0,0.18866535819430813,0.0,0.0,0.0,0.0,0.2453385672227674,0.0,0.0,0.0,0.18866535819430813,0.0,0.0,0.18866535819430813,0.0,187.2794472583697,0.3567740042336923,10.34094204161099
Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667,FCC+BCC,,other,,,6.3,510.0,,25.0,,,,,,,,,,0.18184296619411122,0.0,0.0,0.0,0.18184296619411122,0.0,0.0,0.0,0.0,0.27262813522355506,0.0,0.0,0.0,0.18184296619411122,0.0,0.0,0.18184296619411122,0.0,187.52159510361486,0.34990274565091345,10.166751256786693
Al1 Co0.556 Cr0.556 Cu0.556 Fe0.556,FCC+BCC,,other,,,6.1,557.0,,25.0,,,,,,,,,,0.17245657568238215,0.0,0.0,0.0,0.17245657568238215,0.0,0.0,0.0,0.0,0.31017369727047145,0.0,0.0,0.0,0.17245657568238215,0.0,0.0,0.17245657568238215,0.0,187.8684917857515,0.340059103218103,9.917208646762031
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5,FCC+BCC,,other,,,5.9,567.0,,25.0,,,,,,,,,,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,188.09086112283663,0.333749085408752,9.757245673279865
Al1 Co0.435 Cr0.435 Cu0.435 Fe0.435,FCC+BCC,,other,,,5.7,603.0,,25.0,,,,,,,,,,0.15875912408759124,0.0,0.0,0.0,0.15875912408759124,0.0,0.0,0.0,0.0,0.36496350364963503,0.0,0.0,0.0,0.15875912408759124,0.0,0.0,0.15875912408759124,0.0,188.4055317639806,0.32481989860752447,9.530885096391266
Al1 Co0.4 Cr0.4 Cu0.4 Fe0.4,FCC+BCC,,other,,,5.6,624.0,,25.0,,,,,,,,,,0.15384615384615388,0.0,0.0,0.0,0.15384615384615388,0.0,0.0,0.0,0.0,0.3846153846153847,0.0,0.0,0.0,0.15384615384615388,0.0,0.0,0.15384615384615388,0.0,188.60773415723543,0.31908214393659534,9.385429358229505
Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,BCC,,BCC,,,5.5,657.0,,25.0,,,,,,139.0,,,,0.14703459637561778,0.0,0.0,0.0,0.14703459637561778,0.0,0.0,0.0,0.0,0.41186161449752884,0.0,0.0,0.0,0.14703459637561778,0.0,0.0,0.14703459637561778,0.0,188.89702130613244,0.3108732465882277,9.177328578084513
Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,BCC,,BCC,,,5.4,644.0,,25.0,,,,,,136.0,,,,0.14279588336192112,0.0,0.0,0.0,0.14279588336192112,0.0,0.0,0.0,0.0,0.42881646655231564,0.0,0.0,0.0,0.14279588336192112,0.0,0.0,0.14279588336192112,0.0,189.0825163373476,0.3056095849437906,9.043891400331955
Al1 Co1 Cr1 Cu1 Fe1,FCC+BCC,,other,,,6.8,407.0,,25.0,,,,,,,,,,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,186.89452001554608,0.3676968130586864,10.617842207539837
Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,8.2,134.0,,25.0,,,,,,208.0,,,,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,185.41789683918026,0.40959790725946515,11.680061653351858
Co1 Cr1 Cu0.5 Fe1 Ni1,FCC,CAST,FCC,,,8.3,172.0,,25.0,,,,,,215.0,,,,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,196.8315159290143,0.32899156413396313,12.237939238439559
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,CAST,other,,,7.6,300.0,,25.0,,,,,,,,,,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,182.47251239669424,0.3156073388429752,11.10606876033058
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,225.0,,25.0,,,,,,189.0,,,,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,182.47251239669424,0.3156073388429752,11.10606876033058
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC+Sec.,CAST,other,,,7.0,636.0,,25.0,,,,,,,,,,0.15384615384615385,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,237.8102006450324,0.27385312669463713,11.439975739932073
