FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),feat_Co,feat_Si,feat_Ni,feat_Re,feat_Fe,feat_Zr,feat_Ru,feat_Ti,feat_Ta,feat_Al,feat_W,feat_Mo,feat_V,feat_Cu,feat_Nb,feat_Hf,feat_Cr,feat_Mn,Target_Energy,Target_Risk,Target_Price
Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7.0,388.0,,25.0,,,,,,,,,,0.21052631578947367,0.0,0.21052631578947367,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,214.8766254909542,0.30168428335944975,12.164433749160544
Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7.0,280.0,,25.0,,,,,,,,,,0.21052631578947367,0.0,0.21052631578947367,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,214.8766254909542,0.30168428335944975,12.164433749160544
Al0.875 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,BCC,,,6.9,538.0,,25.0,,,,,,188.0,,,,0.20512820512820512,0.0,0.20512820512820512,0.0,0.20512820512820512,0.0,0.0,0.0,0.0,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.0,214.6684181998856,0.29773473054493266,12.020708944362472
Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,6.9,361.0,,25.0,,,,,,,,,,0.20512820512820512,0.0,0.20512820512820512,0.0,0.20512820512820512,0.0,0.0,0.0,0.0,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.0,214.6684181998856,0.29773473054493266,12.020708944362472
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,,,6.5,487.0,,25.0,,,,,,177.0,,,,0.19047619047619047,0.0,0.19047619047619047,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,214.07630649921873,0.28650276829291826,11.611976194610028
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,,,6.5,499.0,,25.0,,,,,,177.0,,,,0.19047619047619047,0.0,0.19047619047619047,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,214.07630649921873,0.28650276829291826,11.611976194610028
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,BCC,,,6.2,484.0,,25.0,,,,,,171.0,,,,0.18184296619411122,0.0,0.18184296619411122,0.0,0.18184296619411122,0.0,0.0,0.0,0.0,0.27262813522355506,0.0,0.0,0.0,0.0,0.0,0.0,0.18184296619411122,0.0,213.70767626313267,0.27951009969338386,11.357511961142485
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,BCC,,,6.2,517.0,,25.0,,,,,,171.0,,,,0.18184296619411122,0.0,0.18184296619411122,0.0,0.18184296619411122,0.0,0.0,0.0,0.0,0.27262813522355506,0.0,0.0,0.0,0.0,0.0,0.0,0.18184296619411122,0.0,213.70767626313267,0.27951009969338386,11.357511961142485
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,BCC,,,5.9,509.0,,25.0,,,,,,160.0,,,,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,213.02072149452437,0.2664790279865436,10.883309355092692
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,BCC,,,5.9,512.0,,25.0,,,,,,160.0,,,,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,213.02072149452437,0.2664790279865436,10.883309355092692
