FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 Ti1,FCC+BCC+B2+Sec.,CAST,other,,,6.7,657,,25,,,,,,,,,
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 Ti1,FCC+BCC+B2+Sec.,CAST,other,,,6.6,667,,25,,,,,,,,,
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 Ti1,FCC+BCC+B2+Sec.,CAST,other,,,6.5,696,,25,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,215,,25,,,,,,189,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,FCC,CAST,FCC,,,7.6,204,,25,,,,,,186,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.4,FCC+BCC,CAST,other,,,7.5,231,,25,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.6,FCC+BCC+Sec.,CAST,other,,,7.5,328,,25,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.8,FCC+BCC+Sec.,CAST,other,,,7.4,447,,25,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1,FCC+BCC+Sec.,CAST,other,,,7.4,639,,25,,,,,,,,,
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,BCC,CAST,BCC,,,7.3,579,,25,,,,,,177,,,
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,BCC,CAST,BCC,,,7.3,577,,25,,,,,,175,,,
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,BCC,CAST,BCC,,,7.2,594,,25,,,,,,174,,,
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,BCC,CAST,BCC,,,7.2,597,,25,,,,,,172,,,
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,BCC,CAST,BCC,,,7.2,587,,25,,,,,,171,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.1,472,,25,,,,,,,,,
Al1 Co1 Cu1 Fe1 Nd1 Ni1,Other,CAST,other,,,7,578,,25,,,,,,,,,
Al1 Co1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7,536,,25,,,,,,,,,
Al1 Co1 Cu1 Fe1 Ni1 Si1,FCC+BCC,CAST,other,,,5.9,682,,25,,,,,,,,,
Al1 Co1 Cu1 Fe1 Ni1 Ti1,FCC+BCC,CAST,other,,,6.5,626,,25,,,,,,,,,
Al1 Co1 Cu1 Fe1 Ni1 Zr1,FCC+BCC+Sec.,CAST,other,,,6.9,472,,25,,,,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC+Sec.,CAST,other,,,7.1,,C,25,1005,,15,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.1,,C,25,1303,,24,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC+BCC,CAST,other,,,6.6,,C,25,1234,,9,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,FCC+BCC,CAST,other,,,6.9,,C,25,1469,,16,,,,,,
Al1 Co1 Cr1 Cu1 Ni1 Ti1,BCC,,BCC,,,6.4,,C,25,,1495,,8,36,157,,,
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,Other,CAST,other,,,5.8,,C,25,,1192,,4,37,,,,
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,Other,CAST,other,,,6.1,,C,25,,1025,,3,36,,,,
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,Other,CAST,other,,,5.9,,C,25,,1325,,5,38,,,,
Co1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,8.6,,T,25,,480,,15,,187,,,
Co1 Cu1 Fe1 Ni1 Sn0.02,FCC,CAST,FCC,,,8.6,,T,25,,548,,17,,185,,,
Co1 Cu1 Fe1 Ni1 Sn0.04,FCC+Sec.,CAST,other,,,8.6,,T,25,,594,,18,,,,,
Co1 Cu1 Fe1 Ni1 Sn0.05,FCC+Sec.,CAST,other,,,8.6,,T,25,,615,,20,,,,,
Co1 Cu1 Fe1 Ni1 Sn0.07,FCC+Sec.,CAST,other,,,8.6,,T,25,,632,,19,,,,,
Co1 Cu1 Fe1 Ni1 Sn0.1,FCC+Sec.,CAST,other,,,8.6,,T,25,,602,,5,,,,,
Co1 Cu1 Fe1 Ni1 Sn0.2,FCC+Sec.,CAST,other,,,8.5,,T,25,,261,,2,,,,,
Co1 Cu1 Fe1 Ni1 Sn0.5,FCC+Sec.,CAST,other,,,8.3,,,25,,,,,,,,,
Co1 Cu1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.4,208,T,25,,478,,14,,189,,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,FCC,CAST,FCC,,,8.4,192,T,25,,465,,18,,187,,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.05,FCC+Sec.,CAST,other,,,8.4,205,T,25,,475,,12,,,,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.08,FCC+Sec.,CAST,other,,,8.3,219,T,25,,425,,7,,,,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.1,FCC+Sec.,CAST,other,,,8.3,253,T,25,,470,,6,,,,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.2,FCC+Sec.,CAST,other,,,8.3,319,T,25,,368,,2,,,,,
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,6.8,495,,25,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni0.6,FCC+BCC,ANNEAL,other,,,6.6,496,,25,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni0.8,FCC+BCC,ANNEAL,other,,,6.7,486,,25,,,,,,,,,
Al0.833 Cr0.833 Cu0.833 Fe0.833 Ni1,FCC+BCC,ANNEAL,other,,,6.8,407,,25,,,,,,,,,
Al0.714 Cr0.714 Cu0.714 Fe0.714 Ni1,FCC+BCC,ANNEAL,other,,,6.9,367,,25,,,,,,,,,
Co1 Cr1 Cu1 Fe1 Ni1,FCC,,FCC,,,8.3,286,C,25,230,888,51,,,206,,,
Al0.1 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,,FCC,,,8,,,25,,,,,,197,,,
Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,,FCC,,,7.8,,,25,,,,,,190,,,
Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,,FCC,,,7.5,,,25,,,,,,185,,,
Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,,FCC,,,7.3,,,25,,,,,,179,,,
Al0.6 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC+BCC,,other,,,6.9,,,25,,,,,,,,,
Al0.5 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC+BCC,,other,,,7.1,,,25,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni1 Ti1,BCC+BCC+Sec.,ANNEAL,other,,,6.3,,C,25,,1219,,,,,,,
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,FCC,CAST,FCC,,,5.9,516,C,25,980,1326,,7,145,131,,,
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,FCC,CAST,FCC,,,5.9,516,C,25,980,1326,,7,145,131,,,
Al1 Cu1 Fe1 Ni1 Ti1,FCC,CAST,FCC,,,6.1,516,C,25,1074,1617,,8,146,137,,,
Al1 Cu1 Ni1 Ti1,FCC,CAST,FCC,,,5.7,537,C,25,300,536,,0.85,108,122,,,
Al1 Cu0.062 Li0.062 Mg0.062 Zn0.062,FCC+Sec.,CAST,other,,,2.9,,C,25,488,879,17,,,,,,
Al1 Li0.062 Mg0.062 Sn0.062 Zn0.062,FCC+Sec.,CAST,other,,,3,,C,25,415,836,16,,,,,,
Al1 Cu0.2 Li0.5 Mg1 Zn0.5,Other,CAST,other,,,2.7,,,25,,,,,,,,,
Al1 Cu0.5 Li0.5 Mg1 Sn0.2,Other,CAST,other,,,3,,,25,,,,,,,,,
Al1 Li0.5 Mg1 Sn0.2 Zn0.5,FCC+Sec.,CAST,other,,,2.9,,C,25,546,546,,,,,,,
Al1 Li1 Mg1 Sn1 Zn1,FCC+HCP+Sec.,CAST,other,,,3.9,,C,25,600,615,1,,,,,,
Al0.667 Li0.667 Mg0.333 Sc0.667 Ti1,FCC+HCP,,other,,,2.7,591,,25,,,,,,,,,
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,OTHER,BCC,180,,7.7,500,C,25,1965,2061,5,,,107,,,
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,OTHER,BCC,,,7.7,,C,800,678,693,50,,,107,,,
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,OTHER,BCC,,,7.7,,C,1000,166,189,50,,,107,,,
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,OTHER,BCC,200,,8.1,490,C,25,1965,2054,5,,,110,,,
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,OTHER,BCC,,,8.1,,C,800,362,397,50,,,110,,,
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,OTHER,BCC,,,8.1,,C,1000,236,247,50,,,110,,,
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,140,,9.1,500,C,25,1841,2269,10,,,107,,,
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.1,,C,800,796,834,50,,,107,,,
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.1,,C,1000,298,455,50,,,107,,,
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,OTHER,BCC,100,,7.6,530,C,25,2035,2105,5,,,109,,,
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,OTHER,BCC,,,7.6,,C,800,796,851,50,,,109,,,
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,OTHER,BCC,,,7.6,,C,1000,220,225,50,,,109,,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,OTHER,other,75,,7.1,591,C,25,2000,2368,10,,,,,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,OTHER,other,,,7.1,,C,800,1597,1810,11,,,,,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,OTHER,other,,,7.1,,C,1000,745,772,50,,,,,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,OTHER,other,,,7.1,,C,1200,250,,50,,,,,,
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,OTHER,BCC,2000,,6.8,408,C,25,1280,1367,4,,,105,,,
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,OTHER,BCC,,,6.8,,C,800,728,1000,12,,,105,,,
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,OTHER,BCC,,,6.8,,C,1000,403,415,50,,,105,,,
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,105,,9.5,353,C,25,1188,,50,,63,105,,,
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,86,,9.3,396,C,25,1302,,46,,97,104,,,
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,89,,9.1,427,C,25,1415,2050,30,,102,103,,,
Al1 Hf1 Nb1 Ta1 Ti1 Zr1,BCC+Sec.,CAST,other,92,,8.9,441,C,25,1489,1900,21,,103,,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,120,,9.9,295,C,25,1073,,50,,55,107,,,
Al0.25 Mo1 Nb1 Ti1 V1,BCC,CAST,BCC,,,7.1,460,C,25,1250,1500,13,,,161,,,
Al0.5 Mo1 Nb1 Ti1 V1,BCC,CAST,BCC,,,6.8,487,C,25,1625,1800,11,,,156,,,
Al0.75 Mo1 Nb1 Ti1 V1,BCC,CAST,BCC,,,6.6,517,C,25,1260,1300,8,,,151,,,
Al1 Mo1 Nb1 Ti1 V1,BCC,CAST,BCC,,,6.4,537,C,25,1375,1400,3,,,147,,,
Mo1 Nb1 Ti1 V1,BCC,CAST,BCC,,,7.3,441,C,25,1200,2050,26,,,167,,,
Al0.25 Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,8.8,,C,25,1330,,,,,130,,,
Al0.5 Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,8.5,,C,25,1014,,,,,127,,,
Al1 Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,7.9,,C,25,993,,,,,122,,,
Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,9.2,,C,25,1092,,,,,134,,,
Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,350,,5.5,448,C,25,1020,1318,,5,,104,,,
Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.5,,C,600,810,1050,,12,,104,,,
Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.5,,C,800,685,,,50,,104,,,
Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.5,,C,1000,158,,,50,,104,,,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Sec.,OTHER,other,,,8,540,C,25,1595,2046,5,,,,,,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Sec.,OTHER,other,,,8,,C,800,983,1100,5.5,,,,,,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Sec.,OTHER,other,,,8,,C,1000,546,630,50,,,,,,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Sec.,OTHER,other,,,8,,C,1200,170,190,50,,,,,,
Cr1 Nb1 Ti1 V1 Zr1,BCC+Sec.,OTHER,other,,,6.6,482,C,25,1298,,3,,,,,,
Cr1 Nb1 Ti1 V1 Zr1,BCC+Sec.,OTHER,other,,,6.6,,C,600,1230,,10,,,,,,
Cr1 Nb1 Ti1 V1 Zr1,BCC+Sec.,OTHER,other,,,6.6,,C,800,615,,50,,,,,,
Cr1 Nb1 Ti1 V1 Zr1,BCC+Sec.,OTHER,other,,,6.6,,C,1000,259,,50,,,,,,
Cr1 Nb1 Ti1 Zr1,BCC+Sec.,OTHER,other,,,6.6,418,C,25,1260,,6,,,,,,
Cr1 Nb1 Ti1 Zr1,BCC+Sec.,OTHER,other,,,6.6,,C,600,1035,,50,,,,,,
Cr1 Nb1 Ti1 Zr1,BCC+Sec.,OTHER,other,,,6.6,,C,800,300,,50,,,,,,
Cr1 Nb1 Ti1 Zr1,BCC+Sec.,OTHER,other,,,6.6,,C,1000,115,,50,,,,,,
Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,BCC,550,,6.4,304,C,25,918,,50,,,105,,,
Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,BCC,,,6.4,,C,600,571,,50,,,105,,,
Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,BCC,,,6.4,,C,800,240,,50,,,105,,,
Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,BCC,,,6.4,,C,1000,72,,50,,,105,,,
Nb1 Ti1 V1 Zr1,BCC,OTHER,BCC,550,,6.5,335,C,25,1105,,50,,,100,,,
Nb1 Ti1 V1 Zr1,BCC,OTHER,BCC,,,6.5,,C,600,834,,50,,,100,,,
Nb1 Ti1 V1 Zr1,BCC,OTHER,BCC,,,6.5,,C,800,187,,50,,,100,,,
Nb1 Ti1 V1 Zr1,BCC,OTHER,BCC,,,6.5,,C,1000,58,,50,,,100,,,
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,7.9,,C,25,1176,1538,,,,115,,,
C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec.,CAST,other,,,7.8,,C,25,1183,2139,38,,,,,,
C0.3 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec.,CAST,other,,,7.7,,C,25,1201,1965,33,,,,,,
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,395,C,25,1112,,50,,96,115,,,
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,480,C,25,1317,,50,,102,123,,,
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,492,C,25,1373,,50,,109,130,,,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,505,C,25,1512,1800,12,,115,137,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,335,C,25,1015,,50,,85,107,,,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,505,C,25,1512,,12,,,137,,,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,C,800,1007,,23,,,137,,,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,C,1000,814,,30,,,137,,,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,C,1200,556,,30,,,137,,,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,10.2,542,C,25,1600,1743,4,,,143,,,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,10.2,,C,800,1045,1446,19,,,143,,,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,10.2,,C,1000,855,,30,,,143,,,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,10.2,,C,1200,404,,30,,,143,,,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,,,8.7,,C,25,1575,1640,9,,,128,,,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,,,8.7,,C,800,825,1095,50,,,128,,,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,,,8.7,,C,1000,635,654,50,,,128,,,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,,,8.7,,C,1200,187,194,50,,,128,,,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.7,,C,25,1719,1803,10,,,128,,,
Hf1 Nb1 Si0.5 Ti1 V1,BCC+Sec.,CAST,other,,,7.8,,C,800,875,,50,,,,,,
Hf1 Nb1 Si0.5 Ti1 V1,BCC+Sec.,CAST,other,,,7.8,,C,1000,240,,50,,,,,,
Hf1 Nb1 Si0.5 Ti1 V1,BCC+Sec.,CAST,other,,,7.8,490,C,25,1399,1608,11,,,,,,
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,BCC,CAST,BCC,,,8.2,301,T,25,903,990,19,,,103,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,25,929,,50,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,400,790,,50,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,600,675,,50,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,800,535,,50,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,1000,295,,50,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,1200,92,,50,,,107,,,
Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.4,,T,25,879,969,,14.9,,89,,,
Mo1 Nb1 Ta1 V1,BCC,ANNEAL,BCC,200,,10.7,504,C,25,1525,2400,21,,,186,,,
Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,80,,12.4,536,C,25,1246,1270,2,,,229,,,
Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,600,862,,13,,,229,,,
Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,800,846,,17,,,229,,,
Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,1000,842,,19,,,229,,,
Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,1200,735,,7.5,,,229,,,
Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,1400,656,,40,,,229,,,
Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,1600,477,,40,,,229,,,
Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,200,,13.7,454,C,25,1058,1211,2,,,250,,,
Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,600,561,,40,,,250,,,
Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,800,552,,40,,,250,,,
Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,1000,548,,40,,,250,,,
Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,1200,506,,40,,,250,,,
Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,1400,421,,40,,,250,,,
Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,1600,405,,40,,,250,,,
Mo0.3 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,6.7,,C,25,1289,,,42,,114,,,
Mo0.5 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,6.8,,C,25,1473,,,32,,122,,,
Mo0.7 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,6.9,,C,25,1706,,,32,,130,,,
Mo1 Nb0.769 Ti0.769 V0.769 Zr0.769,BCC,ANNEAL,BCC,,,7.3,,C,25,1496,,,30,,150,,,
Mo1 Nb0.667 Ti0.667 V0.667 Zr0.667,BCC,ANNEAL,BCC,,,7.4,,C,25,1603,,,20,,156,,,
Mo1 Nb0.588 Ti0.588 V0.588 Zr0.588,BCC,ANNEAL,BCC,,,7.5,,C,25,1645,,,15,,161,,,
Mo1 Nb0.5 Ti0.5 V0.5 Zr0.5,BCC,ANNEAL,BCC,,,7.6,,C,25,1765,,,12,,169,,,
Mo1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,7.1,,C,25,1779,,,32,,141,,,
Mo1 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,7.2,,C,25,1455,,,25,,142,,,
Mo0.1 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,6.6,,C,25,932,,,45,,102,,,
Mo0.3 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,6.8,,C,25,1312,,,50,,112,,,
Mo0.5 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,6.9,,C,25,1301,,,43,,122,,,
Mo0.7 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,7.1,,C,25,1436,,,27,,130,,,
Mo1 Nb0.769 Ti0.769 V0.231 Zr0.769,BCC,ANNEAL,BCC,,,7.4,,C,25,1603,,,20,,153,,,
Mo1 Nb0.667 Ti0.667 V0.2 Zr0.667,BCC,ANNEAL,BCC,,,7.5,,C,25,1576,,,8,,159,,,
Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,6.5,,C,25,866,,,45,,96,,,
Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,6.5,,C,25,1104,,,50,,100,,,
Mo1 Nb1 Ti1 V0.25 Zr1,BCC,CAST,BCC,,,7.3,,C,25,1776,3893,30,,,142,,,
Mo1 Nb1 Ti1 V0.5 Zr1,BCC,CAST,BCC,,,7.2,,C,25,1647,3307,28,,,142,,,
Mo1 Nb1 Ti1 V0.75 Zr1,BCC,CAST,BCC,,,7.2,,C,25,1708,3929,29,,,141,,,
Mo1 Nb1 Ti1 V1 Zr1,BCC,CAST,BCC,,,7.1,,C,25,1786,3828,26,,,141,,,
Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,BCC,CAST,BCC,,,7.1,,C,25,1735,3300,20,,,140,,,
Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,BCC,CAST,BCC,,,7,,C,25,1538,3176,23,,,139,,,
Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,BCC,CAST,BCC,,,6.9,,C,25,1418,2508,24,,,138,,,
Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,7.3,,C,25,1592,3450,34,,,143,,,
Co1 Fe1 Mo0.2 Ni1 V1,FCC+Sec.,CAST,other,,,8,267,,25,,,,,,,,,
Co1 Fe1 Mo0.4 Ni1 V1,FCC+Sec.,CAST,other,,,8.1,402,,25,,,,,,,,,
Co1 Fe1 Mo0.6 Ni1 V1,FCC+Sec.,CAST,other,,,8.2,557,,25,,,,,,,,,
Co1 Fe1 Mo0.8 Ni1 V1,FCC+Sec.,CAST,other,,,8.3,606,,25,,,,,,,,,
Co0.833 Fe0.833 Mo0.833 Ni1 V0.833,FCC+Sec.,CAST,other,,,8.4,602,,25,,,,,,,,,
Co0.714 Fe0.714 Mo0.714 Ni1 V0.714,FCC+Sec.,CAST,other,,,8.5,538,,25,,,,,,,,,
Co0.625 Fe0.625 Mo0.625 Ni1 V0.625,FCC+Sec.,CAST,other,,,8.5,520,,25,,,,,,,,,
Co0.556 Fe0.556 Mo0.556 Ni1 V0.556,FCC+Sec.,CAST,other,,,8.5,510,,25,,,,,,,,,
Co0.5 Fe0.5 Mo0.5 Ni1 V0.5,FCC+Sec.,CAST,other,,,8.5,382,,25,,,,,,,,,
Co1 Fe1 Mo1 Ni1 V1,FCC+Sec.,CAST,other,,,8.4,625,,25,,,,,,,,,
Co1 Fe1 Ni1 V1,FCC,CAST,FCC,,,7.8,238,,25,,,,,,184,,,
Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,FCC+BCC,CAST,other,,,7.2,,C,25,1862,2431,1,,164,,,,
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC,CAST,BCC,,,7.1,,C,25,1465,2016,2,,190,174,,,
Al0.667 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC+Sec.,CAST,other,,,6.8,,C,25,1461,1461,1,,163,,,,
Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,FCC+BCC+Sec.,CAST,other,,,7.3,,C,25,1312,1312,1,,74,,,,
