FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
Co1 Cr1 Fe1 Nb0.412 Ni1,FCC+Sec.,CAST,other,175,,8.2,,T,25,638,1004,1,,,,,,
Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,175,,8.2,,T,25,148,413,48,,,226,,,
Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.7,110,,25,,,,,,213,,,
Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.7,113,,25,,,,,,213,,,
Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.5,131,,25,,,,,,207,,,
Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.5,196,,25,,,,,,207,,,
Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7.3,159,,25,,,,,,,,,
Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7.3,209,,25,,,,,,,,,
Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7,388,,25,,,,,,,,,
Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7,280,,25,,,,,,,,,
Al0.875 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,BCC,,,6.9,538,,25,,,,,,188,,,
Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,6.9,361,,25,,,,,,,,,
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,,,6.5,487,,25,,,,,,177,,,
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,,,6.5,499,,25,,,,,,177,,,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,BCC,,,6.2,484,,25,,,,,,171,,,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,BCC,,,6.2,517,,25,,,,,,171,,,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,BCC,,,5.9,509,,25,,,,,,160,,,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,BCC,,,5.9,512,,25,,,,,,160,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,BCC,,,6.7,484,,25,,,,,,184,,,
Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,6.7,433,,25,,,,,,,,,
Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,8.2,116,,25,,,,,,226,,,
Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,8.2,113,,25,,,,,,226,,,
Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,CAST,other,,,7.7,425,,25,,,,,,,,,
Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,B2+Sec.,CAST,other,,,6.6,655,,25,,,,,,,,,
Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,BCC+B2,CAST,other,,,6.3,605,,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,CAST,other,,,7.1,715,,25,,,,,,,,,
Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,CAST,other,,,8.5,210,,25,,,,,,,,,
Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,CAST,other,,,6.6,,C,25,,1600,,10,107,,,,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,BCC+BCC,CAST,other,,,5.9,,C,25,,2110,,10,133,,,,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,BCC+BCC,CAST,other,,,5.6,643,C,25,,1030,,5,94,,,,
Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,CAST,other,0.15,,6.2,,C,25,,2280,,6,148,,,,
Co1 Cr1 Fe1 Ni1 Ti1,FCC,CAST,FCC,,,7.2,,C,25,,2020,,9,135,195,,,
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,ANNEAL,other,,,7.2,717,,25,,,,,,,,,
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,ANNEAL,FCC,,,7.6,487,,25,,,,,,201,,,
Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,ANNEAL,other,,,7.4,654,,25,,,,,,,,,
Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,ANNEAL,other,,,7.8,509,,25,,,,,,,,,
Al0.7 Co0.3 Cr1 Fe1 Ni1,FCC+BCC+B2,POWDER,other,,,6.8,624,C,25,2033,2635,8,,,,,,
Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,,other,,,6.9,,,25,,,,,,,,,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,CAST,BCC,,,6.2,402,,25,,,,,,171,,,
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,CAST,BCC,,,5.6,487,,25,,,,,,152,,,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,5.9,432,,25,,,,,,160,,,
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,BCC,CAST,BCC,,,5.3,506,,25,,,,,,145,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,395,,25,,,,,,184,,,
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,6.8,342,,25,,,,,,,,,
